买家会员名,宝贝ID,推荐指数
12345快乐小不点,42577833473,1.5894555214723927
12345快乐小不点,35753244214,1.582236842105263
12345快乐小不点,539677826038,1.5721561969439728
12345快乐小不点,35722000205,1.4845070494888342
12345快乐小不点,35877393642,1.3918466686948585
12345快乐小不点,550715341924,1.3729782487451199
1234孙玲,521826021046,1.1
1234孙玲,540524795725,1.0
1234孙玲,544017279596,0.0
1234孙玲,544114247390,0.0
1234孙玲,544106286825,0.0
1234孙玲,544106282196,0.0
1234孙玲,544100858313,0.0
1234孙玲,544099790786,0.0
1234孙玲,544066720474,0.0
1234孙玲,544016559367,0.0
123tscx小田,537396783238,1.4643422926900702
123tscx小田,544768785584,0.6830274317519214
123tscx小田,527419046969,0.16267972390421348
123tscx小田,531846025844,0.09215363163899082
123tscx小田,45404080098,0.06673955296404266
123tscx小田,528109847799,0.017561149208173976
123tscx小田,544099790786,0.0
123tscx小田,544066720474,0.0
123tscx小田,544017279596,0.0
123tscx小田,544016559367,0.0
1298768089yez,550997388851,0.8999999999999999
1298768089yez,551715398940,0.8999999999999999
1298768089yez,543672634097,0.8999999999999999
1298768089yez,551248890640,0.8999999999999999
1298768089yez,540882092170,0.8999999999999999
1298768089yez,544106286825,0.8999999999999999
1298768089yez,543889179481,0.8999999999999999
1298768089yez,541592384250,0.8999999999999999
1298768089yez,537215013586,0.8999999999999999
1298768089yez,35721027449,0.0
12ywq,544768785584,1.5405892759934676
12ywq,546243180299,1.4852663094862906
12ywq,539677826038,1.360054085377632
12ywq,35722000205,1.3002817893624516
12ywq,548998614714,1.0588723543012983
12ywq,529055709096,1.0397775876817794
12ywq,528109847799,0.8751229934497202
12ywq,547794157516,0.7869292090665296
12ywq,529100790989,0.7683490162532078
12ywq,544100858313,0.7471508595711802
12香妹仔,549736062191,2.1822641509433964
12香妹仔,543661881179,1.0
12香妹仔,550785319010,0.9622641509433962
12香妹仔,551675713112,0.9622641509433962
12香妹仔,543889179481,0.0
12香妹仔,544100858313,0.0
12香妹仔,544099790786,0.0
12香妹仔,544066720474,0.0
12香妹仔,544017279596,0.0
12香妹仔,544016559367,0.0
131417menglian,39539028043,2.441955590183093
131417menglian,539677826038,1.5879884605297667
131417menglian,550715341924,1.3878418329637843
131417menglian,544768785584,1.240307486631016
131417menglian,521019257989,1.1701844903064416
131417menglian,520310825412,1.0746765733705588
131417menglian,36266985550,1.015832263585794
131417menglian,547794157516,1.0148635842186644
131417menglian,545979147913,0.9772357723577236
131417menglian,42711696783,0.9612020170834621
1314lovezheng,539677826038,1.5879884605297667
1314lovezheng,550715341924,1.3878418329637843
1314lovezheng,520310825412,1.3621820089168635
1314lovezheng,521019257989,1.1701844903064416
1314lovezheng,36266985550,1.015832263585794
1314lovezheng,547794157516,1.0148635842186644
1314lovezheng,545979147913,0.9772357723577236
1314lovezheng,42711696783,0.9612020170834621
1314lovezheng,547751184046,0.9581881533101047
1314lovezheng,545912368452,0.9550135501355015
1314岩佐真悠子,544115359956,7.6719576719576725
1314岩佐真悠子,549378588703,7.119021934555915
1314岩佐真悠子,42577833473,6.8418981481481485
1314岩佐真悠子,42646163798,6.310938845822568
1314岩佐真悠子,546273141690,6.2592592592592595
1314岩佐真悠子,543812646033,6.206971677559913
1314岩佐真悠子,543827067334,6.188148148148149
1314岩佐真悠子,543627278103,6.148148148148149
1314岩佐真悠子,551715398940,6.148148148148149
1314岩佐真悠子,543694488413,6.148148148148149
1332qq,36353085367,1.634582021461158
1332qq,546275765548,1.52
1332qq,539677826038,1.4178039702233252
1332qq,540520509637,1.3746835443037975
1332qq,40400203213,1.2908823529411764
1332qq,537166359199,1.1028571428571428
1332qq,550715341924,1.1010351035103512
1332qq,522078297513,1.0580168776371308
1332qq,546827381933,1.035289604909858
1332qq,539091956756,1.027315123251166
13485225822杨德才,544768785584,1.5405892759934676
13485225822杨德才,546243180299,1.4852663094862906
13485225822杨德才,539677826038,1.360054085377632
13485225822杨德才,35722000205,1.3002817893624516
13485225822杨德才,548998614714,1.0588723543012983
13485225822杨德才,529055709096,1.0397775876817794
13485225822杨德才,528109847799,0.8751229934497202
13485225822杨德才,547794157516,0.7869292090665296
13485225822杨德才,529100790989,0.7683490162532078
13485225822杨德才,544100858313,0.7471508595711802
13586083332xx,544016559367,3.328042328042328
13586083332xx,544115759872,3.16204683552946
13586083332xx,36353085367,2.600295828150738
13586083332xx,35722000205,2.558044409816907
13586083332xx,549378588703,2.4470642625982433
13586083332xx,550715341924,2.417670078266105
13586083332xx,42577833473,2.1699404761904764
13586083332xx,545974803385,2.150923666782851
13586083332xx,42711696783,1.9910302623857825
13586083332xx,522609190751,1.9537306843267108
1363434liu,544016559367,1.8809780654440846
1363434liu,544768785584,1.5405892759934676
1363434liu,544115759872,1.4190179055887144
1363434liu,35722000205,1.3002817893624516
1363434liu,545538490326,1.1779138170165957
1363434liu,539677826038,1.1394910194326169
1363434liu,540522690300,1.127831715210356
1363434liu,37941111428,1.0869928631132257
1363434liu,548998614714,1.0588723543012983
1363434liu,529055709096,1.0397775876817794
13704285111na,538585695146,2.1213047910295617
13704285111na,36286235128,1.8373202760957865
13704285111na,537180206236,1.6263552960800667
13704285111na,546243180299,1.3982958122739981
13704285111na,549736062191,1.3620454545454548
13704285111na,528153854399,1.3108472746896924
13704285111na,548998614714,1.2753201925697155
13704285111na,529055709096,1.2562254259501966
13704285111na,45404080098,1.1732905982905983
13704285111na,545940561990,1.1490825688073394
13726236901琪琪,544115759872,1.770036581310276
13726236901琪琪,549736062191,1.7683870967741937
13726236901琪琪,549378588703,1.7410483143928077
13726236901琪琪,42577833473,1.5894555214723927
13726236901琪琪,540662291619,1.569616977225673
13726236901琪琪,550715341924,1.3729782487451199
13726236901琪琪,541254875522,1.3176178660049627
13726236901琪琪,35753244214,1.2358870967741935
